address1,resource_id,resource_name,address2,city,state,zip,county,phone,fax,tty,toll_free,hotline,email,web_page,facebook_name,facebook_url,twitter,short_description
721 N. Main Ave.,52696,Community Alternative Sentencing Program (CASP),,Springfield,MO,65802,GREENE COUNTY,417-865-9460,417-865-6155,,,,wgcollins@caspspringfieldmo.org,www.caspspringfieldmo.org,,,,Provides alternative sentencing options to the court systems.
220 W. Plainview Road,33221,Community Blood Center of the Ozarks--Don Thomson Donor Center (CBCO),,Springfield,MO,65810,GREENE COUNTY,417-227-5000,,,1-800-280-5337,,donate@cbco.org,www.cbco.org,Community Blood Center of the Ozarks,https://www.facebook.com/ozarksblood,@ozarksblood,"Collects blood from donors and provides all of the blood and blood products to patients at 38 hospitals in southwest Missouri, northwest Arkansas and southeast Kansas."
425 E. Trafficway,34024,"Community Foundation of the Ozarks, Inc.",P.O. Box 8960,Springfield,MO,65801,GREENE COUNTY,417-864-6199,417-864-8344,,1-888-266-6815,,cfo@cfozarks.org,www.cfozarks.org,Community Foundation of the Ozarks,https://www.facebook.com/cfozarks?ref=br_tf,@cfozarks,"Supports community development through endowment building, community grant making, collaboration and public leadership."
330 N. Jefferson Ave.,34025,Community Partnership of the Ozarks,,Springfield,MO,65806,GREENE COUNTY,417-888-2020,417-888-2322,,,,info@commpartnership.org,www.commpartnership.org,Community Partnership of the Ozarks,https://www.facebook.com/CPOzarks,@cpozarks,We partner with others to create the community you want to live in.
2353 S. Campbell Ave.,34026,"Compassionate Friends, Greater Ozarks Chapter",,Springfield,MO,65807,GREENE COUNTY,417-887-7089,,,,,mkeway@aol.com,www.compassionatefriends.org,,,,"Provides support for families toward the positive resolution of grief following the death of a child of any age; provides information to help others be supportive. Meetings held every third Tuesday of the month, 7 p.m.--9 p.m."
5741 E. Meadowmere,A9,Competition Dogs of the Ozarks,,Springfield,MO,65809,,417-234-6141,,,,,wicklowsetters@gmail.com,,Competition Dogs of the Ozarks,https://www.facebook.com/groups/763367817076173/,,Promotes purebred dogs and holds several events throughout the year.
P.O. Box 2113,33223,Concrete Promotion Council of the Ozarks,,Springfield,MO,65801-2113,GREENE COUNTY,417-865-8282,417-865-8139,,,,concretepromo@yahoo.com,www.cpcoz.com,,,,Promotes all concrete applications for better building outcomes.
627 N. Glenstone Ave.,52929,Connections Handyman Service,,Springfield,MO,65802,GREENE COUNTY,417-862-3586,417-862-2129,,,,rvirnig@ccozarks.org,www.ccozarks.org,Connections Handyman Service,https://www.facebook.com/pages/Connections-Handyman-Service/356970184315064,,Provides minor necessary home repairs and access-related modifications for seniors and those with disabilities; a part of the Council of Churches of the Ozarks.
2846 W. Farm Road 190,544990,Connie Morris Golf Learning Center,,Springfield,MO,65810,,417-823-7888,,,,,,www.parkboard.org/golf/connie_morris_lrn_ctr,,,,A golf training center that specializes in golf instruction for all ages and skill levels. Located at Rivercut Golf Course. Part of Springfield-Greene County Parks and Recreation.
,52695,Constellation Club of Springfield,,,,,GREENE COUNTY,417-836-4467,,,,,DavidCornelison@missouristate.edu,www.constellationclub.org,,,,"Aerospace/science club for students in grades K-12 that fosters science and math education, encourages scholastic achievement, and provides hands-on projects, activities and presentations."
1515 South Glenstone Ave.,33224,"Consumer Credit Counseling Service of Springfield, Missouri, Inc. (CCCS)",P.O. Box 10266,Springfield,MO,65808,GREENE COUNTY,417-889-7474,417-881-7713,,1-800-882-0808,,,www.shredyourdebt.org,CCCS of the Ozarks,https://www.facebook.com/CCCSoftheOzarks,,"Provides one-on-one personal financial counseling; works out repayment arrangements with creditors; helps clients get relief from collector phone calls, over-limit fees and late fees with credit card companies and other unsecured debt; assists with budgeting, debt management plans and credit education; provides pre-filing bankruptcy counseling, pre-foreclosure housing counseling and mortgage delinquency counseling."
330 S. Patterson Ave.,53642,Convoy of Hope,,Springfield,MO,65802,GREENE COUNTY,417-823-8998,417-823-8244,,1-800-988-0664,,info@convoyofhope.org,www.convoyofhope.org,Convoy of Hope,https://www.facebook.com/convoyofhope?ref=bookmarks,@ConvoyofHope,"A faith-based organization with a driving passion to feed the world through children's feeding initiatives, community outreaches, disaster response and partner resourcing."
1311 N. Cooper Blvd.,33225,Cooper Estates Property Owners Association,,Springfield,MO,65802,GREENE COUNTY,417-864-4434,417-864-4530,,,,admin@cooperestatespoa.com,www.cooperestatespoa.com,,,,Promotes the interests of residents of Cooper Estates subdivision.
1383 S. 19th Ave.,BBB777,Cornerstone Homeschool Co-Op,,Ozark,MO,65721,,417-425-2142,,,,,info@cornerstonehomeschool.com,www.cornerstonehomeschool.com,Cornerstone Homeschool Co-Op,https://www.facebook.com/cornerstonehomeschool,,"A Homeschool Cooperative located in the Ozark area, led by three Christian women, that helps with homeschool needs. Meets one afternoon a week for four, 50-minute classes. Classes for K-5 are PE, science, geography and art. Classes for 6-8 are science, art, project management and IEW (Institute in Excellence in Writing)."
P.O. Box 3947,33226,Council of Churches of the Ozarks,,Springfield,MO,65808-3947,GREENE COUNTY,417-862-3586,417-862-2129,,,,ccozarks@ccozarks.org,www.ccozarks.org,,,,"Partners with people of faith to serve hungry children, foster children and families, working families, individuals and families in crisis, adults and senior adults with disabilities, senior volunteers, low-income seniors needing essential home repair and nursing home residents."
P.O. Box 848,AAA999,Cover Your Bum Cloth Diaper Bank,,Springfield,MO,65801,,417-812-6BUM (messages only),,,,,coveryourbumdiapers@gmail.com,www.coveryourbum.net,Cover Your Bum Cloth Diaper Bank,https://www.facebook.com/coveryourbumclothdiaperbank?fref=ts,,"Loans cloth diapers to families in need of a little extra support. Assists parents who want better, cheaper diapering options but fear startup costs. By providing a limited time loan, it helps families decide if cloth diapering is right for them, and helps them save money by purchasing cloth diapers. CYB also provides training for how to care for cloth diapers and how to choose effective, budget friendly cloth diaper options."
1423 N. Jefferson Ave.,52955,Cox College,,Springfield,MO,65802,GREENE COUNTY,417-269-3401,417-269-3581,,1-866-898-5355,,,www.coxcollege.edu,Cox College,https://www.facebook.com/CoxCollege,,An accredited nursing and health sciences college.
1423 N. Jefferson Ave. (north complex),33231,CoxHealth,3801 S. National Ave. (south complex),Springfield,MO,65802,GREENE COUNTY,417-269-3000 (north) 417-269-6000 (south),,,,,,www.coxhealth.com,CoxHealth,https://www.facebook.com/coxhealth,@coxhealth,Operates three hospitals in Springfield and more than 50 clinics in southwest Missouri.
Hulston Cancer Center,33194,CoxHealth Breast Care Clinic,"3850 S. National Ave., Suite 300",Springfield,MO,65807,GREENE COUNTY,417-269-6170,417-269-6992,,,,susan.smith2@coxhealth.com,www.coxhealth.com,,,,Comprehensive breast center.
Hulston Cancer Center,54727,CoxHealth Caregivers Support Group,3850 S. National Ave.,Springfield,MO,65807,GREENE COUNTY,417-269-5257,417-269-5781,,,,,www.coxhealth.com/cancer,Hulston Cancer Center at CoxHealth,https://www.facebook.com/hulstoncancercenter,,For caregivers of cancer patients.
Cox Medical Center North,1160,CoxHealth Center For Addictions,1423 N. Jefferson Ave.,Springfield,MO,65802,GREENE COUNTY,417-269-2273,417-269-8851,,,,gene.davison@coxhealth.com,www.coxhealth.com,,,,Provides out-patient substance abuse treatment for adults.
"960 E. Walnut Lawn, Suite 203",34027,CoxHealth Cox Diabetes Center,,Springfield,MO,65807,GREENE COUNTY,417-269-3900,417-269-8260,,,,DiabetesCenter@coxhealth.com,www.coxhealth.com,,,,Provides education and self-management training to individuals with diabetes and their families.
3801 S. National Ave.,34028,"CoxHealth Cox Medical Explorers, Post 229",,Springfield,MO,65807,GREENE COUNTY,417-269-5954,417-269-5315,,,,stephanie.spradling@coxhealth.com,www.coxhealth.com,CoxHealth Medical Explorers,https://www.facebook.com/coxhealthexplorers,,A program for 15- to 20-year-olds who are interested in careers in medicine.
3535 S. National Ave.,33233,CoxHealth Cox Senior Advantage,,Springfield,MO,65807,GREENE COUNTY,417-269-3616,417-269-9966,,1-888-354-3618,,janice.mccauley@coxhealth.com,www.coxhealth.com,,,,"Provides assistance with insurance, transportation, newsletter and seminars to people 50 years old and older."
"1423 N. Jefferson, Suite B-100",dddd,CoxHealth Family Medical Care Center,,Springfield,MO,65802,Greene,417-269-8817,,,,,,www.coxhealth.com,CoxHealth,https://www.facebook.com/coxhealth,@coxhealth,Offers primary medical care services to all ages.
Hulston Cancer Center,54729,CoxHealth Grief Support Group,3850 S. National Ave.,Springfield,MO,65807,GREENE COUNTY,417-269-5257,417-269-5781,,,,,www.coxhealth.com/cancer,Hulston Cancer Center at CoxHealth,https://www.facebook.com/hulstoncancercenter,,For family and friends of cancer patients who have passed away.
Hulston Cancer Center ,52967,CoxHealth Hulston Cancer Center -- Allenbrand Resource and Image Center,"3850 S. National Ave., Suite 120",Springfield,MO,65807,GREENE COUNTY,417-269-5257,417-269-5781,,1-866-485-7866 (HULSTON),,,www.coxhealth.com/cancer,Hulston Cancer Center at CoxHealth,https://www.facebook.com/hulstoncancercenter,,"Provides informational resources for cancer patients as well as other needs, such as wigs, headwear, and mastectomy supplies, and provides patient advocates to help locate resources."
Hulston Cancer Center,54728,CoxHealth Patient and Caregivers Support Group,3850 S. National Ave.,Springfield,MO,65807,GREENE COUNTY,417-269-5257,417-269-5781,,,,,www.coxhealth.com/cancer,Hulston Cancer Center at CoxHealth,https://www.facebook.com/hulstoncancercenter,,For cancer patients and their family members and caregivers.
CoxHealth Breast Care Clinic,33574,CoxHealth Reach Together,"3850 S. National Ave., Suite 300",Springfield,MO,65807,GREENE COUNTY,417-269-6253,417-269-6992,,,,deanna.gunnett@coxhealth.com,www.coxhealth.com,,,,"A support group for those who have, or have had, breast cancer and their family members and caregivers."
1423 N. Jefferson Ave.,33234,CoxHealth Rehabilitation Therapy North,,Springfield,MO,65802,GREENE COUNTY,417-269-3177,417-269-3789,,,,,www.coxhealth.com,,,,"Provides out-patient physical therapy, speech therapy, occupational therapy and audiology services for pediatrics and adults."
3801 S. National Ave.,33232,CoxHealth Volunteer Services Department,,Springfield,MO,65807,GREENE COUNTY,417-269-4169,417-269-5315,,,,stephanie.spradling@coxhealth.com,www.coxhealth.com,CoxHealth Volunteers,https://www.facebook.com/coxhealthvolunteers,,Provides volunteers for the CoxHealth system.
"1000 E. Primrose St., Suite 110",34133,CoxHealth Women's Center,,Springfield,MO,65807,GREENE COUNTY,417-269-4664,417-269-6251,,,,donyta.upton@coxhealth.com,www.coxhealth.com,CoxHealth Moms,https://www.facebook.com/coxhealthmoms,,"Family Beginnings classes, lactation consults and breastfeeding support. Osteoporosis Clinic and bone density testing. Provides resource information on women's health issues. Joyce Schwandt Library and Milestones Boutique."
615 N. Glenstone Ave.,32153,Crosslines,,Springfield,MO,65802,GREENE COUNTY,417-869-0563,417-864-4614,,,,randerson@ccozarks.org,www.crosslines.org,Crosslines of Springfield,https://www.facebook.com/Crosslines.Springfield,@CrosslinesSgf,"Provides emergency assistance to low-income families. Primary services include a food pantry; other services include diapers, prenatal and children's vitamins, voicemail for job seekers and seasonal help with coats, holiday food baskets and Christmas toys; an operating agency of the Council of Churches of the Ozarks."
RR 1 Box 450,uu,Cystic Fibrosis Association of Missouri,,Ava,MO,65608,,,,,,,,,Cystic Fibrosis Association of Missouri,,,"To raise awareness about Cystic Fibrosis, support families and raise money for CF research. Three meetings each year include third Saturday of March in West Plains, June or July in Springfield, and October in Cuba, Mo."
6260 S. Hunters Trail,1999,"Daughters of the American Revolution, Isaac Garrison Chapter",,Springfield,MO,65810,,417-890-9405,,,,,darwebs@mac.com,www.mssdar.org/igarrison,,,,"Furthers historical, educational and patriotic objectives."
531 E. Kingsley St.,52892,"Daughters of the American Revolution, Rachel Donelson Chapter",,Springfield,MO,65807,GREENE COUNTY,417-860-3087,,,,,dorj241@aol.com,www.mssdar.org/rdonelson,,,,"Furthers historical, educational and patriotic objectives."
1411 Ridgecrest St.,47065,"Daughters of Union Veterans of the Civil War, 1861-1865, Mary Whitney Phelps Tent #22",,Springfield,MO,65804,GREENE COUNTY,417-886-8197,,,,,mmaulin@spamcop.net,www.duvmissouritent22.org,,,,"Strives to perpetuate the memories and goals of Civil War ancestors, genealogically, historically and patriotically through service, community projects and programs."
1461 E. Seminole St.,965,Daybreak Adult Day Care,,Springfield ,MO,65804,GREENE COUNTY,417-881-0133,417-882-4792,,,,daybreakonseminole@hotmail.com,www.ccozarks.org,Daybreak Adult Day Care,https://www.facebook.com/pages/Daybreak-Adult-Day-Care/140140399351694,@daybreak.adult-day-care,A medically-monitored day environment for elderly and disabled adults. An operating agency of the Council of Churches of the Ozarks.
P.O. Box 14362,829929,Deaf Awareness Group of Southwest Missouri (DAG),,Springfield,MO,65814,,417-234-3038,,,,,cheek2cheek7@yahoo.com,www.dagswmo.webs.com,,,,"Assists the Deaf and Hard of Hearing community in promoting opportunities for social and educational interaction between individuals, their families and friends."
1764 S. Fremont Ave.,33239,Democratic Alliance,2051 N. Carriage Drive,Nixa,MO,65714,GREENE COUNTY,417-886-8980,417-886-5661,,,,bobrubino@msn.com,,,,,"Advances the goals and purposes of the Democratic Party through social, civic and political activities."
1545 E. Pythian St,1205,Developmental Center of the Ozarks (DCO),,Springfield,Mo,65802,GREENE COUNTY,417-829-0850 (Adults) 417-829-0800 (Children),417-831-0901 (Adults) 417-865-7603 (Children),1-800-735-2966,,,shailey@dcoonline.com,www.dcoonline.com,Developmental Center of the Ozarks (DCO),https://www.facebook.com/pages/Developmental-Center-of-the-Ozarks-DCO/89697214953,,"Serves infants, children and adults with or without developmental delays or physical disabilities, through a variety of therapeutic, educational, habilitative and rehabilitative programs designed to promote personal growth and development of skills necessary to live in the least restrictive environment possible."
615 N. Glenstone,vv,Diaper Bank of the Ozarks,,Springfield,MO,65802,,417-848-5049,,,,,jillbright61@gmail.com,www.diaperbankoftheozarks.org,Diaper Bank of the Ozarks,,,"Distributes disposable diapers to families in need and provides education, supplies and support for families who wish to learn more about the cloth diaper option."
1401 W. Norton Road,33245,Dickerson Park Zoo,3043 N. Fort Ave.,Springfield,MO,65803,GREENE COUNTY,417-864-1800 (zoo park) 417-833-1570 (zoo office),417-833-4459,,,417-864-1800,info@dickersonparkzoo.org,www.dickersonparkzoo.org,Dickerson Park Zoo,https://www.facebook.com/DPZoo,@dpzoo,"Provides recreational and educational experiences for the public, conserves wildlife and wild places, and conducts research."
1708 E. St. Louis St.,33247,"Disabled American Veterans and Auxiliary, Orlan E. Smith Memorial Chapter 11",,Springfield,MO,65802,GREENE COUNTY,417-862-3910,417-862-3136,,,,t.lldav@yahoo.com,www.dav.org,,,,Aids disabled American veterans by supplying transportation to area VA hospitals. Assists veterans in filing claims for service injuries and sickness. All services are free. Assists veterans with some short-term financial assistance on a first-come basis.
438 E. St. Louis St.,24752,"Discovery Center of Springfield, Inc.",,Springfield,MO,65806,GREENE COUNTY,417-862-9910,417-862-6898,,,,lduncan@discoverycenter.org,www.discoverycenter.org,,,,Interactive hands-on museum committed to inspiring people of all ages with a lifelong love of learning.
629 W. Woodridge,744833,Doling Neighborhood Association,,Springfield,MO,65803,,417-559-3724,,,,,dolingneighborhoodassociation@gmail.com,,Doling Neighborhood Association,https://www.facebook.com/groups/DolingNeighborhoodAssociation/,,"Promotes the interests of the residents of the area defined as Interstate 44/Norton on the north, Kearney Street on the south, National Avenue on the east and Kansas Expressway on the west."
P.O. Box 1598,54767,Down Syndrome Group of the Ozarks,,Springfield,MO,65801,GREENE COUNTY,417-885-9905,,,,,info@ozarksdsg.org,www.ozarksdsg.org,Down Syndrome Group of the Ozarks,https://www.facebook.com/pages/Down-Syndrome-Group-of-the-Ozarks/151912388164251,@DSGOzarks,"Provides education, support and resources to individuals with Down Syndrome, their families, educators and the community in order to bring positive awareness of the abilities and strengths of individuals with Down Syndrome."
304 W. McDaniel St.,33253,Downtown Springfield Association,,Springfield,MO,65806,GREENE COUNTY,417-831-6200,417-831-6217,,,,rusty@itsalldowntown.com,www.itsalldowntown.com,,,,"Strives to revitalize, improve and promote downtown Springfield; coordinates many downtown events."
1616 S. Eastgate Ave.,53684,Dr. Michael J. Clarke History Museum of Ozarks Scouting,,Springfield,MO,65809,GREENE COUNTY,417-883-1636,417-883-2534,,,,council306@ozarktrailsbsa.org,www.ozarktrailsbsa.org,Dr Michael J Clarke Museum of Ozarks Scouting,https://www.facebook.com/pages/Dr-Michael-J-Clarke-Museum-of-Ozarks-Scouting/233808034617,,An ongoing exhibit of the history of Scouting in the Ozarks dating from 1916.
1126 N. Broadway Ave.,BBB555,Drew Lewis Foundation at the Fairbanks,,Springfield,MO,65802,,417-720-1890,,,,,thefairbanksinfo@gmail.com,www.thefairbankssgf.com,The Fairbanks,https://www.facebook.com/TheFairbanksSGF,@thefairbankssgf,"The mission of the Drew Lewis Foundation is to improve the quality of life in under-served urban neighborhoods. To accomplish this, the Foundation partners with existing area organizations to establish community hubs, which serve to boost the economic and physical wellness of neighborhood residents of all ages. These outcomes are achieved through a variety of means, including education and vocational programs, garden-to-table initiatives, public health services and community events."
900 N. Benton Ave.,53031,Drury University,,Springfield,MO,65802,GREENE COUNTY,417-873-7879,416-866-3873,,1-800-922-2274,,drury@drury.edu,www.drury.edu,Drury University,https://www.facebook.com/DruryUniversity,@Drury University,"A fully accredited, private university founded in 1873."
900 N. Benton Ave.,A3,Drury University Alumni Association,,Springfield,MO,65802,,417-873-7217,417-873-7842,,800-922-2274,,alumni@drury.edu,http://alumni.drury.edu/alumniassociation,Drury University Alumni,https://www.facebook.com/DruryAlumni,,"Connect with Drury alumni at Drury to Drury events, homecoming and athletic events."
900 N. Benton Ave,A6,Drury University Music Department,,Springfield,MO,65802,,417-873-7291,,,800-922-2274,,music@drury.edu,www.drury.edu/music,Drury University Department of Music,https://www.facebook.com/pages/Drury-University-Department-of-Music/197551080283560,,"Performance programs that challenge, educate and inspire our students and their audiences. Event calendar can be found on Drury University's website."
900 N. Benton Ave.,A4,Drury University Pool Art Center Gallery,,Springfield,MO,65802,,417-873-7263,,,800-922-2274,,art@drury.edu,www.drury.edu/pacgallery,,,,Exhibits local and national artists and is located on the first floor of the Pool Art Center at 940 North Clay Street on the eastern edge of the Drury University campus.
900 N. Benton Ave,A5,Drury University Theatre,,Springfield,MO,65802,,417-873-6832,417-873-7572,,800-922-2274,,theatre@drury.edu,www.drury.edu/theatre,,,,"Challenges, educates and inspires Drury students in theatrical production and artistic training. Performance schedule and ticket information can be found on Drury University's website."
"1740 S. Glenstone Ave., Suite S",53641,Easter Seals Midwest Autism Services,,Springfield,MO,65804,GREENE COUNTY,417-890-1399,417-890-1775,,1-800-420-7410,,christine.breig@esmw.org,www.eastersealsmidwest.org,,,,Provides a full range of services and support to children and adults with autism spectrum disorders (ASD) and their families throughout a 23-county area with offices also located in Joplin.
7454 Foxtrot Lane,1201,EasyRiders Equestrian Drill Team,,Rogersville,MO,65742,GREENE COUNTY,417-689-2206,,,,,easyridersdrillteam@gmail.com,www.theeasyriders.com,,,,"A youth development organization that helps youth grow and mature in positive ways, using the horse as a teaching tool; provides training and development for members to participate in a competitive precision drill team; provides varying forms of entertainment from the presentation of national colors to themed numbers set to music."
Springfield-Greene County Library District: Midtown Carnegie Branch Library,52925,Edge Community Technology Center,397 E. Central St.,Springfield,MO,65802,GREENE COUNTY,417-837-5011,417-866-1259,,,,askalibrarian@thelibrary.org,thelibrary.org,,,,Offers lifelong learning opportunities in computer software and Internet training for adults. Sessions are free and open to the public. Part of the Springfield-Greene County Library District.
330 N. Jefferson Ave.,53205,Educare,,Springfield,MO,65806,GREENE COUNTY,417-888-2020,417-888-2322,,,,,www.commpartnership.org,,,,"Provides training, coaching and support programs for unlicensed child care providers that serve families receiving DSS child care subsidy; a program of the Community Partnership of the Ozarks."
1461 E. Seminole St.,33259,Eldercare Transit Service,,Springfield,MO,65804,GREENE COUNTY,417-882-4243,417-882-3793,,,,daybreakonseminole@hotmail.com,www.ccozarks.org,Daybreak Adult Day Care,https://www.facebook.com/pages/Daybreak-Adult-Day-Care/140140399351694,,"Provides door-through-door, non-emergency medical transportation services benefiting elderly or disabled individuals. Part of Daybreak Adult Day Care."
2223 E. Bennett St.,34032,Elks Lodge #409,,Springfield,MO,65804,GREENE COUNTY,417-881-0038,417-890-0019,,,,elks409@sbcglobal.net,www.elks.org,,,,"Renders charitable and patriotic services to veterans, handicapped and youth programs in the local area. Provides food for the needy, and drug awareness programs and scholarships for students. Also supports the Developmental Center of the Ozarks."
4406 Saint Vincent Ave.,33265,Epilepsy Foundation of Missouri & Kansas,,St. Louis ,MO,63119-3429,GREENE COUNTY,1-314-781-4949,1-314-781-4907,,1-800-264-6970,,epilepsy@efmk.org,www.epilepsyfoundation.org/stlouis,,,,Educates and promotes an understanding of epilepsy.
1325 E. Loren,44242,Epsilon Chapter of Delta Kappa Gamma,,Springfield,MO,65809,,417-350-7774,,,,,awhite@spsmail.org,www.deltakappagamma-mo.org,,,,Promotes the professional and personal growth of women educators in a world society.
1148 South Courtney Lane,tt,Equi-Librium Therapy Center,,Rogersville,MO,65742,,417-830-1409,,,,,etctherapy@gmail.com,www.etctherapy.org,Equi-Librium Therapy Center,https://www.facebook.com/pages/Equi-Librium-Therapy-Center/129518460501483?ref=br_tf,,"Provides accredited equine therapy services to children and adults, including Therapeutic Riding, Hippotherapy, Equine Facilitated Learning and Warriors Walk On."
1111 N. Glenstone Ave.,33267,Evangel University,,Springfield,MO,65802,GREENE COUNTY,417-865-2815,417-865-9599,,,,logsdonp@evangel.edu,www.evangel.edu,,,,"A private, coeducational Christian liberal arts university."
1111 N. Glenstone Ave.,33268,Evangel University Alumni Association,,Springfield,MO,65802,GREENE COUNTY,"417-865-2815, ext. 7333",417-865-9599,,,,alumni@evangel.edu,www.evangel.edu,,,,Helps Evangel University achieve its goals by providing support and resources.
1111 N. Glenstone Ave.,54725,Evangel University: Artist Series,,Springfield,MO,65802,GREENE COUNTY,"417-865-2815, ext. 7339",417-865-9599,,,,,www.evangel.edu,Evangel University,https://www.facebook.com/pages/Evangel-University/105543046145519,,"An artist series produced by Evangel University, a private, coeducational Christian liberal arts university."
1111 N. Glenstone Ave.,54723,Evangel University: Music Department,,Springfield,MO,65802,GREENE COUNTY,"417-865-2815, ext. 7212",417-575-5476,,,,browna@evangel.edu,www.evangel.edu,Evangel University Music Department,https://www.facebook.com/evangelmusic?ref=br_tf,,"A private, coeducational Christian liberal arts university music department."
,BBB111,"Evergreen Garden Club, FGCM",,,,,,417-224-7553,,,,,shingleme2@aol.com,,,,,"Studies the fine arts of gardening, garden and floral design, landscape design; participates in civic and community projects. Meets fourth Wednesday of each month at the Springfield Botanical Gardens. Visitors welcome."
566 W. Mt. Vernon,748838,Exceptional Business Men In Nixa (X-MIN),,Nixa,MO,65714,,417-725-1545,417-725-4532,,,,info@nixachamber.com,www.nixachamber.com,,,,Promotes businesses.
2546 S. Chapel Drive,33270,Executive Women's Club,,Springfield,MO,65809,GREENE COUNTY,417-838-0277,,,,,mycoachpaula@aol.com,,"Executive Women's Club of Springfield, MO",https://www.facebook.com/groups/129507592142/,,"A forum for sharing ideas, lending mutual support and promoting education for the special needs of career women."
PO Box 414,33771,"Experience Works, Inc.",,Buffalo,MO,65622,DALLAS COUNTY,1-417-345-2797,1-417-345-2998,,1-877-872-4740,,diane_chambers@experienceworks.org,www.experienceworks.org,Experience Works,https://www.facebook.com/ExperienceWorks,@experienceworks,Provides job skills training to low-income seniors who have multiple barriers to obtaining employment.
P.O. Box 93,33273,Fair Grove Historical and Preservation Society,32 S. Main St.,Fair Grove,MO,65648,GREENE COUNTY,417-759-2807,,,,,info@fghps.org,www.fghps.org,,,,"Works to preserve the customs, crafts and history of the Fair Grove area including restoration of the Wommack Mill."
3132 N. Fair Haven Loop,33274,Fair Haven Children's Home,,Strafford,MO,65757,GREENE COUNTY,417-862-6675,417-862-0993,,,,barney@fhchome.org,www.fairhavenchildrenshome.com,,,,"Provides a home for abused, neglected, emotionally disturbed or dependent children."
2144 E. Republic Road,aaaa,Farmers Market of the Ozarks,,Springfield,MO,65804,Greene,417-766-8711,,,,,Lane@LoveYourFarmer.com,www.loveyourfarmer.com,Farmers Market of the Ozarks,https://www.facebook.com/FMO2012,@FMOzarks,"Operates a farmers market that contributes to the success of local food growers and producers, strengthens the local food economy and serves as a community gathering place for the Ozarks region."
4439 W. University,33282,Federal Prison Retirees Association,,Springfield,MO,65802,GREENE COUNTY,417-865-1922,,,,,bobkatc@sbcglobal.net,www.springfieldfeds.com,,,,Maintains and promotes social interaction of federal prison retirees.
3756 W. Kingsley St.,33285,Filipino-American Association of Southwest Missouri,,Springfield,MO,65807,GREENE COUNTY,417-887-9733,,,,,,www.filaasmo.com,,,,Promotes and preserves Filipino cultural heritage and traditions.
P.O. Box 1176,54668,Finley River Community Foundation,,Ozark,MO,65721-1176,CHRISTIAN COUNTY,417-224-0356,,,,,,www.cfozarks.org/finley-river,,,,"Works to enhance the quality of life in the communities of eastern Christian County through community service, charitable giving and endowment building. An affiliate of Community Foundation of the Ozarks."
"1370 E. Primrose Ave., Suite A",54487,First Steps (System Point of Entry) (SPOE),,Springfield,MO,65804,GREENE COUNTY,417-886-0404,417-863-9889,,1-866-583-2392,,christy@abilitiesfirst.net,www.abilitiesfirst.net,,,,Missouri's early intervention program which is designed to help families build capacity to support their children (from birth to age three) with developmental disorders or delays.
1136 E. Atlantic St.,33780,"Fleet Reserve Association, Branch 316",,Springfield,MO,65803,GREENE COUNTY,417-883-3064,,,,,,www.fra.org,,,,"A patriotic, civic and education organization of active reserve or retired Navy, Marines or Coast Guard personnel."
1059 Barton Drive,54140,"Fordland Clinic, Inc.",,Fordland,MO,65652,WEBSTER COUNTY,417-767-2273 or 417-767-2100 for dental services,417-767-4054,,,,information@fordlandclinic.org,www.fordlandclinic.org,Fordland Clinic,https://www.facebook.com/fordlandclinic,,"Offers comprehensive family practice, dental services, mental health counseling and urgent care services based on income."
1131 Boonville Ave.,53721,Foundation for Springfield Public Schools ,,Springfield,MO,65802,GREENE COUNTY,417-523-0144,417-523-0040,,,,nmurdock@spsmail.org,www.supportsps.org,,,,"Raises, manages and distributes privately raised monies to benefit the students who attend Springfield Public Schools."
620 W. Scott St.,53024,Franciscan Villa,,Springfield,MO,65802,GREENE COUNTY,417-869-5417,417-869-5510,,,,,www.kitcheninc.org,,,,"Affordable, independent multifamily apartments. A Kitchen, Inc. program."
2739 S. Claremont Ave.,33293,Franklin D. Roosevelt (FDR) Women's Democratic Club,,Springfield,MO,65804,GREENE COUNTY,417-883-6727,,,,,pstepp48@gmail.com,,FDR Women's Democratic Club,https://www.facebook.com/groups/157944330889021/,,Educates the public and supports issues and candidates for the Democratic Party.
P.O. Box 7108,OOOO,Friends Against Hunger,,Springfield,MO,65801-7108,,417-773-1639,,,,,director@fahunger.org,www.fahunger.org,Friends Against Hunger,https://www.facebook.com/FriendsAgainstHunger?fref=ts,@FAHunger,"Provides specially-formulated, packaged food for hungry people in the United States and starving people around the world."
P.O. Box 8566,54141,Friends of the Garden,,Springfield,MO,65801,GREENE COUNTY,417-891-1650,,,,,,www.friendsofthegarden.org,,,,"Supports the Botanical Center & Gardens in its mission to provide outstanding botanical, horticultural and environmental education opportunities; membership is open to people of all ages with an interest in, and appreciation of nature. Facilities and gardens available for rent."
4653 S. Campbell Ave.,33297,Friends of the Library,,Springfield,MO,65810,GREENE COUNTY,417-616-0560 or 417-883-6930 (Between Friends Gift Shop),417-889-2547,,,,myers-pat@sbcglobal.net,www.thelibrary.org,Friends of the Springfield-Greene County Library District,https://www.facebook.com/pages/Friends-of-the-Springfield-Greene-County-Library-District/316884865085504,,"Members promote the services and resources of the Springfield-Greene County Library District while sharing their love of books with the community; the purpose is to foster a positive relationship between the Library and the community, secure volunteers, and raise funds to support the Library."
