ADDRESS 1,RESOURCE ID,RESOURCE NAME,ADDRESS 2,CITY,STATE,ZIP,COUNTY,PHONE,FAX,TTY,TOLL-FREE,HOTLINE,EMAIL,WEB PAGE,FACEBOOK NAME,FACEBOOK URL,TWITTER,SERVICES
215 S. Barnes Ave.,33289,Ozarks Area Community Action Corporation: Foster Grandparent Program,,Springfield,MO,65802,GREENE COUNTY,417-864-3420,417-873-3354,,1-866-380-4420,,dyoung@oacac-caa.org,www.oacac-caa.org,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@OzarksOACAC,"Provides low-income seniors (55 and older) the opportunity to help teachers with tutoring, therapy, developing motor skills and other classroom activities for physically, mentally and emotionally disabled children. An OACAC program."
560-A N. Stewart Ave.,33347,Ozarks Area Community Action Corporation: Greene County Center,,Springfield,MO,65802,GREENE COUNTY,417-447-0554,417-832-0303,,,,greene@oacac-caa.org,www.oac.ac,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559?ref=br_tf,@ozarksoacac,"Offers support in parenting skills, employment, personal development, household management and budgeting, health and nutrition and life skills. An OACAC program."
215 S. Barnes Ave.,39348,Ozarks Area Community Action Corporation: Head Start,,Springfield,MO,65802,GREENE COUNTY,417-864-3430,417-864-3449,417-864-3495,1-866-282-3430,,tdickey@oacac-caa.org,www.oacac-caa.org,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@OzarksOACAC,Provides a preschool learning experience and medical and dental care for children from birth to age 5 from income-eligible families. An OACAC program.
215 S. Barnes Ave.,33389,Ozarks Area Community Action Corporation: Housing Assistance Program,,Springfield,MO,65802,GREENE COUNTY,417-864-3444,417-873-3360,417-864-3445,,,housinginfo@oacac-caa.org,www.oac.ac,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@OzarksOACAC,Services include Section 8 rental assistance funded by HUD to low-income families; also assists households with special needs who are homeless and/or disabled. An OACAC program.
215 S. Barnes Ave.,33263,Ozarks Area Community Action Corporation: Low-Income Home Energy Assistance Program (LIHEAP),,Springfield,MO,65802,GREENE COUNTY,417-862-4314,417-864-3499,417-864-3495,,,awingo@oacac-caa.org,www.oacac-caa.org,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@OzarksOACAC,Assists low-income households having an energy-related crisis in paying heating/cooling bills; provides information and education on energy conservation. An OACAC program.
2643 W. College Road,33758,Ozarks Area Community Action Corporation: Weatherization Program,,Springfield,MO,65802,GREENE COUNTY,417-865-7797,417-865-7542,,,,tsteinmann@oacac-caa.org,www.oacac-caa.org,OACAC Ozarks Area Community Action Corporation,https://www.facebook.com/pages/OACAC-Ozarks-Area-Community-Action-Corporation/223742965559,@OzarksOACAC,Provides free services to conserve energy for low-income homeowners and renters. Crews insulate and repair homes to make them more energy-efficient. An OACAC program.
"205 Park Central East, Suite 205",33585,Ozarks Commute (Regional Rideshare Program),,Springfield,MO,65806,GREENE COUNTY,417-831-RIDE (7433),417-862-6013,,,,help@ozarkstransportation.org,www.ozarkscommute.com,Ozarks Transportation Organization,https://www.facebook.com/pages/Ozarks-Transportation-Organization/259683794058148,@giveusyourinput,"Offers information on wise commuting choices that reduce traffic congestion, pollution, commuting stress and saves money; provides carpool matches on a map using custom schedules and driving routes."
614 South Ave.,33514,Ozarks Counseling Center,,Springfield,MO,65806,GREENE COUNTY,417-869-9011,417-889-6307,,,,occ@ozarkscounselingcenter.org,www.ozarkscounselingcenter.org,,,,"Provides outpatient counseling for individuals, families, and married couples; fees based on income. A United Way of the Ozarks partner agency."
2810 N. Cedarbrook Ave.,32454,Ozarks Food Harvest,P.O. Box 5746,Springfield,MO,65801,GREENE COUNTY,417-865-3411,417-865-0504,,,,bbrown@ozarksfoodharvest.org,www.ozarksfoodharvest.org,Ozarks Food Harvest,https://www.facebook.com/ozarksfoodharvest,@ozksfoodharvest,"The Feeding America food bank for southwest Missouri, serving 200 organizations across 28 Ozarks counties. Distributes more than 13 million meals annually to 260,000 unduplicated individuals."
1001 E. Chestnut Expressway,33550,Ozarks Technical Community College,,Springfield,MO,65802,GREENE COUNTY,417-447-7500,,417-447-8195,,,ask@otc.edu,www.otc.edu,Ozarks Technical Community College,https://www.facebook.com/ozarkstech,@otcedu,"Promotes student learning through accessible, high quality, affordable workforce training, and technical and general education that is responsive to the educational needs of the community and its diverse constituencies."
221 Graff Hall,33303,Ozarks Technical Community College: Adult Education and Literacy,725 E. Bob Barker Blvd.,Springfield,MO,65802,GREENE COUNTY,417-447-8860,417-447-8863,,,,ael@otc.edu,www.otc.edu/adulteducation.php.,,,,"Provides classes and tutoring in adult basic education and literacy, HSE test preparation and English as a Second Language."
600 S. Jefferson Ave.,33555,Parenting Life Skills Center (PLSC) - A Great Circle Agency,,Springfield,MO,65806,GREENE COUNTY,417-831-9596,417-831-7423,,,,gary.johnson@great-circle.org,www.greatcircle.org,,,,"Serves families by teaching life skills through home visitations, and parent education in a caring, nurturing and accessible environment to promote self-worth and quality of life."
P.O. Box 1752,ss,PFLAG-Springfield,,Springfield,MO,65801-1752,,417-350-5300,,,,,pflagoftheozarks@gmail.com,www.pflag-springfield.org,PFLAG Springfield,https://www.facebook.com/groups/138181975848/,,"Provides support for families, allies and people who are LGBTQ; educates about the unique issues and challenges facing people who are LGBTQ; advocates in our communities to change attitudes and create policies and laws that achieve full equality for people who are LGBTQ. Meets 3 p.m., the third Sunday of each month at National Avenue Christian Church, 1515 S. National Ave."
626 E. Battlefield Road,33699,Planned Parenthood of Southwest Missouri,,Springfield,MO,65807,GREENE COUNTY,417-883-3800,417-883-3994,,,,ppswmo@gmail.com,www.ppslr.org,Planned Parenthood of Southwest Missouri,https://www.facebook.com/ppswmo,@ppswmo,"Provides health services that give individuals the power and the ability to take control of their lives, their health and their future. Works in public policy to empower individuals to take action to influence local, state and federal elected officials to protect and advance access to reproductive health services."
"1342 E. Primrose St., Suite C",52924,Pregnancy Care Center,,Springfield,MO,65804,GREENE COUNTY,417-877-0800,417-877-0830,,1-866-677-0800,,info@417choices.com,417choices.com,Springfield Pregnancy Care Center,https://www.facebook.com/SpringfieldPregnancyCareCenter,@SpringfieldPCC,"Provides pregnancy testing and confirmation of pregnancy through ultrasound. Other services include ongoing mentoring, parenting and adoption preparation, labor and birth classes, relationship enhancement workshops, and nutrition and lactation consultation."
301 N. Main,48496,Rare Breed Youth Services,,Springfield,MO,65806,GREENE COUNTY,417-865-6400,417-865-6409,,,417-837-1572,rarebreed@thekitcheninc.org,www.therarebreed.com,,,,"Provides a wide range of outreach services designed by and for youth. Professional staff supervise youth who can access television, stereo, a computer lab, games, arts and crafts, billiards, foosball and a message board; provides access to emergency shelter, survival aid, individual assessments, and information on goal-setting skills, prevention and education activities, information and referral, case management advocacy and crisis intervention. A Kitchen, Inc. program."
291 U.S. Highway 60 West,aabbcc,Republic Pregnancy Resource Center,P.O. Box 332,Republic,MO,65738,,417-732-5993,,,,,director@republicprc.org,republicprc.org,Republic Pregnancy Resource Center,https://www.facebook.com/RepublicPregnancyResourceCenter,,"Free Pregnancy Test and limited obstetrical ultrasounds. Parenting classes and baby resources, including diapers, wipes, cloths, toys, many miscellaneous items for baby."
949 E. Primrose St.,54715,"Ronald McDonald Care Mobile (The ""Tooth Truck"")",,Springfield,MO,65807,GREENE COUNTY,417-891-1238 administrative--417-875-3504,417-882-7206,,,,bonnie.keller@rmhcozarks.org,www.toothtruck.org,"Ronald McDonald House Charities of the Ozarks in Springfield, Missouri",https://www.facebook.com/RMHC.Ozarks,,Provides a mobile dental unit for at-risk children.
949 E. Primrose St.,52942,"Ronald McDonald House Charities® of the Ozarks, Inc.",,Springfield,MO,65807,GREENE COUNTY,417-875-3503,417-882-7206,,,,bonnie.keller@RMHCOzarks.org,www.RMHCOzarks.org,Ronald McDonald House Charities of the Ozarks,https://www.facebook.com/RMHC.Ozarks,,"Provides lodging, hope and comfort for families of seriously ill children receiving medical care at two Ronald McDonald Houses in Springfield; provides dental treatment and prevention education for at-risk children who qualify for free/reduced school lunches on the Ronald McDonald Care Mobile (also known at the Tooth Truck)."
627 N. Glenstone Ave.,300392887,RSVP Reading Buddy Program,P.O. Box 3947,Springfield,MO,65808,,417-831-9696 or 417-862-3595,417-862-2129,,,,rsvpreadingbuddy@ccozarks.org,ccozarks.org,,,,"Volunteers, age 55 and older, read with and mentor students in grades K-3 on a weekly basis. Training is provided. Fifty area schools in three counties participate. Funding is partially provided by the United Way of the Ozarks."
"1736 E. Sunshine St., Suite 707",55559,Safe At Home,,Springfield,MO,65804,,417-863-7233,417-823-0390,,1-877-603-7805,,jdavis@livesafeathome.org,www.livesafeathome.org,Safe at Home,https://www.facebook.com/SAHSPFDMO,,"We provide compassion, resources and personal emergency systems to seniors at little or no cost, so they can live Safe At Home, longer."
"1570 W. Battlefield Road, Suite 110",3993883,Safe Kids Springfield,,Springfield,MO,65807,,417-820-6671,417-820-7227,,,417-820-7233,info@safekidsspringfield.org,www.safekidsspringfield.org,Safe Kids Springfield,https://www.facebook.com/safekidsspringfield,,Provides safety and injury prevention programs for children and their families to reduce unintentional deaths and injuries.
925 E. Seminole St.,35105,SafeHaven of the Ozarks,227 E. Sunshine St. Suite 120,Springfield,MO,65807,Greene,417-693-7533,,,,,caringassoc@aol.com,www.SafeHavenoftheOzarks.com,,,,"To prevent child abuse by providing a safe, home-like site for supervised visitation, as well as counseling services for children in foster care who have been neglected or abused. Support and linkage to community resources also are provided to grandparents who are raising grandchildren, through SafeHaven's Grandparents Parenting Again (GPA) program."
,jj,Sammy's Window,,,,,,417-849-7941,,,,,,,,,,"Provides assistance, such as clothing and personal hygiene items, to children entering the foster care system."
2864 S. Nettleton Ave.,33622,Southwest Center for Independent Living,,Springfield,MO,65807,GREENE COUNTY,417-886-1188,417-886-3619,417-886-1188,1-800-676-7245,,scil@swcil.org,www.swcil.org,Southwest Center for Independent Living,https://www.facebook.com/southwestcenterforindependentliving,@swcil_sgf,"Provides services, advocacy, and resources for people with any disability in southwest Missouri; promotes a barrier-free environment for all disabilities through public education and advocacy for social change, and provides a full range of independent living services."
P.O. Box 3902,33476,Southwest Missouri Area of Narcotics Anonymous (SWMOANA),,Springfield,MO,65801-3902,GREENE COUNTY,,,,,1-855-866-7392,,www.na.org and www.swmoana.org,,,,"A hotline for drug abuse; publishes list of Narcotics Anonymous meeting dates, times and locations."
1735 S. Fort Ave.,33634,Southwest Missouri Office on Aging (SWMOA),,Springfield,MO,65807,GREENE COUNTY,417-862-0762,417-865-2683,,1-800-497-0822,,janice@swmoa.com,www.swmoa.com,,,,Serves the older population by coordinating and funding programs that enhance their quality of life.
1423 W. Atlantic St.,33556,Springfield Public Schools: Parents As Teachers (PAT) /Early Childhood Education,,Springfield,MO,65803,GREENE COUNTY,417-523-1160,417-523-1199,,,,mriley@spsmail.org,www.springfieldpublicschoolsmo.org,Springfield MO Parents as Teachers,https://www.facebook.com/pages/Springfield-MO-Parents-As-Teachers/1414608762085397,,Offers information and support to parents of preschool children through home visits and group meetings.
1423 W. Atlantic St.,34124,Springfield Public Schools: Teen Parent Program,,Springfield,MO,65803,GREENE COUNTY,417-523-1160,417-523-1199,,,,mriley@spsmail.org,www.springfieldpublicschoolsmo.org,Springfield MO Parents as Teachers,https://www.facebook.com/pages/Springfield-MO-Parents-As-Teachers/1414608762085397,,Provides information on effective parenting and child development through personal home visits and monthly group meetings at each high school.
1715 N. Boonville Ave.,54107,Springfield Victory Mission,,Springfield,MO,65803,GREENE COUNTY,417-831-6387,417-831-9980,,,,info@victorymission.com,www.victorymission.com,Springfield Victory Mission,https://www.facebook.com/SpringfieldVictoryMission,,"Meets physical and spiritual needs of homeless and poor through emergency and educational services. These includes lodging, food, clothing, school supplies, counseling, recovery and life skills and job training."
824 W. Commercial St.,53669,Springfield Victory Vintage Thrift Store,,Springfield,MO,65803,GREENE COUNTY,417-864-2244,,,,,information@victorymission.com,www.victorymission.com,,,,"Sells used clothing, appliances and household items at a reasonable price; gives clothing to singles and families in need and other missionary groups."
660 S. Scenic Ave.,53662,Springfield-Greene County Health Department: Westside Public Health Center,,Springfield,MO,65802,GREENE COUNTY,417-874-1220,417-874-1215,,,,health@springfieldmo.gov,www.health.springfieldmo.gov,,,,Provides immunization services to the community from birth to adult. 
440 E. Tampa St.,34134,"Springfield-Greene County Health Department: Women, Infants and Children Supplemental Nutrition Program (WIC)",,Springfield,MO,65806,GREENE COUNTY,417-851-1580,417-863-8790,,,,jrandolph@springfieldmo.gov,www.health.springfieldmo.gov/wic,,,,"Provides nutrition education, health risk assessment, referral services, lactation services, and a supplemental food package for all eligible women, infants and children up to the age of five years."
"149 Park Central Square, Suite 116 (physical location)",33199,State of Missouri: Department of Health and Senior Services -- Bureau of Special Health Care Needs,"P.O. Box 777, MPO",Springfield,MO,65801,GREENE COUNTY,417-895-6905,417-895-6990,,,,,www.health.mo.gov,,,,Helps children and adults to age 21 who have serious or chronic medical conditions obtain treatment they may not be able to otherwise afford.
"149 Park Central Square, Suite 244",34070,State of Missouri: Department of Health and Senior Services - Division of Senior and Disability Services,,Springfield,MO,65806,GREENE COUNTY,417-895-6433,417-895-6430,,,1-800-392-0210 Elder Abuse & Neglect Hotline,,www.dhss.mo.gov,,,,"Provides social services to the elderly and adult disabled through a variety of in-home support services, and direct and protective services."
"149 Park Central Square, Suite 116",53648,"State of Missouri: Department of Health and Senior Services, Section for Child Care Regulations",,Springfield,MO,65806,GREENE COUNTY,417-895-6541,417-895-6994,,,,,www.health.mo.gov,,,,Licenses and monitors child care facilities; provides technical assistance to applicants and licensed providers including review of building plans; conducts free group inquiry meetings for those interested in operating a day care; conducts complaint investigations.
"149 Park Central Square, Suite 116",34069,"State of Missouri: Department of Health and Senior Services, Southwest District",P.O. Box 777,Springfield,MO,65801-0777,GREENE COUNTY,417-895-6900,417-895-6975,,,,,www.health.mo.gov,,,,Provides support to area health departments and other public health partners and promotes quality of life and health for all Missourians.
"1736 E. Sunshine St., Suite 610",33459,State of Missouri: Department of Labor and Industrial Relations--Division of Workers Compensation,,Springfield,MO,65804,GREENE COUNTY,417-888-4100,417-888-4105,,1-800-775-2667,,,www.labor.mo.gov,,,,"Adjudicates workers' compensation claims in Springfield, West Plains, Branson, Lebanon and surrounding counties."
2600 E. 12th St.,34071,State of Missouri: Department of Mental Health -- Division of Alcohol and Drug Abuse and Comprehensive Psychiatric Services,,Kansas City,MO,64127,GREENE COUNTY,816-482-5770,816-482-5774,,,,,www.dmh.mo.gov,,,,"Provides information on programs for alcohol and drug abuse, prevention and treatment."
1515 E. Pythian St.,1203,"State of Missouri: Department of Mental Health -- Division of Developmental Disabilities, Springfield Regional Office",,Springfield,MO,65802,GREENE COUNTY,417-895-7400,417-895-7412,,,1-888-549-6635,,www.dmh.mo.gov,,,,"Serves a population that has developmental disabilities, such as intellectual disabilities, cerebral palsy, head injuries, autism, epilepsy and certain learning disabilities."
2040 W. Woodland St.,33455,"State of Missouri: Department of Natural Resources, Southwest Regional Office",,Springfield,MO,65807,GREENE COUNTY,417-891-4300,417-891-4399,,1-800-361-4827,,,www.dnr.mo.gov,,,,Enforces state pollution control laws.
101 Park Central Square,33336,State of Missouri: Department of Social Services -- Greene County Family Support Division,,Springfield,MO,65806,GREENE COUNTY,417-895-6000,(417) 895-6080 /6098,,1-855-373-4636,,,www.dss.mo.gov,,,,"Determines eligibility for medical assistance (Mo HealthNet, Medicaid and MHABD for the Aged, Blind, and Disabled), Temporary Assistance (TANF), food stamps and daycare."
"149 Park Central Square, Room 640",33577,State of Missouri: Department of Social Services -- Rehabilitation Services for the Blind (RSB),,Springfield,MO,65806,GREENE COUNTY,417-895-6386,417-895-6392,,1-800-592-6004,,randy.custer@dss.mo.gov,www.dss.mo.gov/fsd/rsb,,,,"Provides job training, job placement, visual aids, independent living skills and daily living skills training."
149 Park Central Square,2244556,State of Missouri: Department of Social Services Greene County Children's Division,,Springfield,MO,65806,,417-895-6000,,1-800-735-2966,,Child Abuse & Neglect Hotline 1-800-392-3738,,www.dss.mo.gov/cd,,,,Responds to reports of child abuse and neglect and administers a system of care for children who cannot safely remain at home; partners in early childhood and prevention programs.
"1735 W. Catalpa St., Suite B",33456,State of Missouri: Department of Social Services--Division of Youth Services,,Springfield,MO,65807,GREENE COUNTY,417-895-6485,417-895-5853,,1-800-735-2466,,,www.dss.mo.gov/dys,,,,Provides care and treatment for youth who have been committed to the Division by the State of Missouri's juvenile court system.
"1410 S. Kansas Expressway, Suite 100",53035,State of Missouri: Family Support Division -- Child Support Enforcement,,Springfield,MO,65807,GREENE COUNTY,417-895-6338,417-895-6337,,,,,www.dss.mo.gov/cse,,,,"Enforces the payment of child support, establishes child support orders, establishes paternity and makes order modifications."
"1410 S. Kansas Expressway, Room 115",33470,State of Missouri: Veterans Commission,,Springfield,MO,65807,GREENE COUNTY,417-895-6532,417-895-6533,,,,cathy.vonholt@mvc.dps.mo.gov,www.mvc.dps.mo.gov,,,,Aids veterans or their dependents in filing for V.A. benefits.
1501 E. Pythian St.,1206,The Arc of the Ozarks,,Springfield,MO,65802,GREENE COUNTY,417-864-7887,417-864-4307,,,,info@thearcoftheozarks.org,www.thearcoftheozarks.org,The Arc of the Ozarks,https://www.facebook.com/thearcoftheozarks?rf=172222822823919,,Supports individuals with disabilities in directing their own lives as valued members of the community. A United Way of the Ozarks partner agency.
518 E. Commercial St. (physical),53773,The Gay and Lesbian Community Center of the Ozarks (GLO),P.O. Box 225 (mailing),Springfield,MO,65801,GREENE COUNTY,417-869-3978,,,,,volunteer@glocenter.org,www.glocenter.org,The Gay and Lesbian Community Center of the Ozarks,https://www.facebook.com/pages/The-Gay-Lesbian-Community-Center-of-the-Ozarks/131846014999,@glocenter,"Supports the well-being of gay, lesbian, bisexual and transgender persons in the greater Springfield region by organizing and sponsoring community activities and by increasing public understanding and appreciation of GLBT citizens."
"1720 N. Jefferson Ave., Suite 2",54966,The Journey Home Project (Burrell Behavioral Health Homeless Services),,Springfield,MO,65803,GREENE COUNTY,417-761-5530,417-761-5531,,,1-800-494-7355 or 417-862-6555,michael.lehmann@burrellcenter.com,,,,,"A program that helps provide a link to services for homeless individuals, and a path to treatment for homeless individuals with mental illness and co-occurring disorders."
1630 N. Jefferson Ave.,24753,"The Kitchen, Inc.",,Springfield,MO,65803,GREENE COUNTY,417-837-1500,417-831-6709,,,,info@thekitcheninc.org,www.thekitcheninc.org,"The Kitchen, Inc.",https://www.facebook.com/TheKitchenInc,@TheKitchenIncMO,"The Kitchen's programs meet the needs and address the root cause of poverty and homelessness. Services include medical and dental services, housing, counseling, healthcare, education, youth services, clothing, advocacy, life skills and homelessness prevention."
1707 W. Chestnut Expressway,cccc,The Salvation Army Family Enrichment Center,,Springfield,MO,65802-4279,Greene,417-862-5509,,,,,amanda_long@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,"A transitional housing program for homeless or at-risk families; clients are provided with intensive, supportive services and structured guidance as they work toward regaining independence and self-sufficiency."
1737 S. Campbell Ave.,1131333,The Salvation Army Family Thrift Store,,Springfield,MO,65807-2003,,417-866-9426,,,,,robin_redwing@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,Sells new and donated items to benefit the Salvation Army.
2944 W. Chestnut Expressway,53670,The Salvation Army Superstore,,Springfield,MO,65802-4633,GREENE COUNTY,417-865-1770,417-862-1499,,,,robin_redwing@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,Sells new and donated items to benefit the Salvation Army.
636 N. Boonville Ave.,68499300,The Salvation Army: Day Labor Program,,Springfield,MO,65806,,417-831-3371,,,,,Dianna_Lewis@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,Provides opportunities for occasional labor to those looking for a day's work.
636 N. Boonville Ave.,53627,The Salvation Army: Harbor House,,Springfield,MO,65806,GREENE COUNTY,417-831-3371,,,,,Dianna_Lewis@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,"Provides an opportunity for men struggling with addictions to re-establish themselves in the community through classes, counseling, and work experience and accountability, and a safe environment in which to give men a new start in life. Day Labor program also at this facility."
1707 W. Chestnut Expressway,34095,The Salvation Army: Main Office,,Springfield,MO,65802-4279,GREENE COUNTY,417-862-5509,417-862-1135,,,,amanda_long@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,"Available assistance includes shelter and housing programs, an emergency food pantry, rental and prescription assistance, emergency disaster services, a senior citizens program, back-to-school assistance, Christmas assistance, a Community Thanksgiving Day meal, a Community Christmas Day meal, daily feeding programs, summer day camp and after-school programs for children, an emergency cold weather shelter, an emergency cooling center, family and youth activities, and general social service assistance."
1707 W. Chestnut Expressway,33493,The Salvation Army: New Start Housing Program,,Springfield,MO,65802-4279,GREENE COUNTY,417-862-5509,417-862-1135,,,,amanda_long@usc.salvationarmy.org,www.usc.salvationarmy.org/springfield-mo,"The Salvation Army - Springfield, MO",https://www.facebook.com/SalvationArmyOzarkArea,,Helps homeless families with children residing in shelters become self-sufficient by providing temporary housing and supportive services.
,54675,The Veterans Center (formerly Myrl Billings Memorial Veterans Center),,,,,GREENE COUNTY,417-862-8387 or 816-561-8387,417-832-8387,,,,,www.vva317.com,,,,"Contact information for Vietnam Veterans of America, who assist veterans with VA compensation and pension claims, GI Bill education benefits, vocational rehabilitation programs, military records retrieval, burial and memorial services, acquiring military decorations, and entrance into the VA health system provided by VA outpatient clinics and hospitals."
819 N. Boonville Ave.,1176,The Victim Center,,Springfield,MO,65802,GREENE COUNTY,417-863-7273,417-863-9048,,1-800-743-5265,24 hour--417-864-SAFE (7233),hope@thevictimcenter.org,www.thevictimcenter.org,The Victim Center,https://www.facebook.com/thevictimcenter,,Provides a wide range of services for victims of violent and sexual crimes.
"2937 S. Claremont Ave., Building A, Suite 115",9288288,United States: Internal Revenue Service,,Springfield,MO,65804,,417-889-9828,,,1-800-829-1040,,,www.irs.gov,IRS,https://www.facebook.com/IRS,@IRSnews,Provides general federal income tax information and account services.
"1570 W. Battlefield Road, Suite 100",33611,United States: Social Security Administration -- Springfield Office,,Springfield,MO,65807,GREENE COUNTY,1-877-850-7824,417-866-6571,1-800-325-0778,1-800-772-1213,,mo.fo.springfield@ssa.gov,www.socialsecurity.gov,,,,"Issues cards, assists in filing claims and maintains all records on Social Security."
806 N. Jefferson Ave.,33491,Veterans Coming Home Center,,Springfield,MO,65802,GREENE COUNTY,417-866-3363,417-866-3378,,,,,,,,,"Provides persons in need with free clothing, day shelter, food, beverage, laundry, showers and a place to rest. A division of New Life Evangelistic Center."
1715 N. Boonville Ave.,83776,Victory Trade School,,Springfield,MO,65803,,417-864-2222,417-831-9980,,,,info@victorytradeschool.edu,www.victorytradeschool.edu,Victory Trade School,https://www.facebook.com/VictoryTradeSchool,@victradeschool,"Offers certificates in culinary arts and family science. Provides debt-free education to non-traditional students from disadvantaged backgrounds. Students learn hands-on job skills and academic excellence through holistic teaching and professionally-led laboratories. Also maintains Cook's Kettle, a student-operated restaurant open to the public for breakfast and lunch."
P.O. Box 4626,2992,Women in Need,,Springfield,MO,65808,,417-234-7338,417-862-6892,,,,,womeninneedoftheozarks.org,,,,"Provides funds to assist working women with one-time, short-term needs such as tires, utilities, furniture and appliances, and childcare, etc."
